Binary,Event Type,Event
/System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent,notify_post,_CMFBlockListIsEmptyToken
/System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent,notify_register_check,_CMFBlockListIsEmptyToken
/System/Library/PrivateFrameworks/PassKitCore.framework/passd,,??
/System/Library/Frameworks/CryptoTokenKit.framework/ctkd,notify_post,com.apple.ctk.first-slot
/System/Library/PrivateFrameworks/CoreAccessories.framework/Support/accessoryd,notify_post,com.apple.iaptransportd.notify.availability
/System/Library/PrivateFrameworks/CoreAccessories.framework/Support/accessoryd,notify_post,com.apple.iap2d.notify.availability
/System/Library/PrivateFrameworks/CoreAccessories.framework/Support/accessoryd,notify_post,com.apple.accessories.transport-server.availability-changed
/System/Library/PrivateFrameworks/CoreAccessories.framework/Support/accessoryd,notify_post,com.apple.accessories.audio.stateChanged
/System/Library/PrivateFrameworks/CoreAccessories.framework/Support/accessoryd,notify_register_check,com.apple.iaptransportd.notify.availability
/System/Library/PrivateFrameworks/CoreAccessories.framework/Support/accessoryd,notify_register_check,com.apple.iapd.notify.availability
/System/Library/PrivateFrameworks/CoreAccessories.framework/Support/accessoryd,notify_register_check,com.apple.iap2d.notify.availability
/System/Library/PrivateFrameworks/CoreAccessories.framework/Support/accessoryd,notify_register_check,com.apple.accessories.transport-server.availability-changed
/System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent,notify_post,com.apple.appstored.XPCServiceBroker
/System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent,notify_post,com.apple.appstored.PurchaseHistoryDatabaseUpdated
/System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent,notify_post,com.apple.appstored.updatesstorechanged
/System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent,notify_post,com.apple.appstored.ASDArcadeSubscriptionBagUpdatedNotification
/System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent,notify_post,com.apple.appstored.IAPInfoDatabaseUpdated
/System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent,notify_post,com.apple.appstored.NewsSubEntitlementsCacheUpdated
/System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent,notify_register_dispatch,com.apple.mobile.keybagd.lock_status
/System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent,notify_register_dispatch,com.apple.system.powermanagement.poweradapter
/System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent,notify_register_dispatch,com.apple.appstored.defaultschange
/System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd,notify_post,com.apple.coreanalytics.dailylogging
/System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd,notify_post,com.apple.analyticsd.running
/System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd,notify_register_check,com.apple.analyticsd.running
/System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd,,??
/System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd,notify_post,com.apple.coreservices.useractivity.reconnection
/System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd,notify_post,com.apple.coreservices.lsuseractivity.simulatorsupport
/System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted,notify_post,com.apple.mediaplayer.airPlayPasswordAlertDidCancel
/System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted,notify_register_dispatch,com.apple.airplay.prefsChanged
